"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num5rd","c_type","flgrm5","mrkgrm5","ngrm5","flmth5","mrkmth5","nmth5","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"1",1,11005,54,24,30,9,1,2,1,5,2,2,27.2700004577637,73,55,20,73,55,26104,11,24,5,1,28,0,2,54,28,74.1100006103516,17.8999996185303,28,70.5699996948242,35.7000007629395,1,0,0,0,0,2,72.6372756958008,20.0109100341797,55,72.7447280883789,27.2563629150391,55,0,NA,NA,24,26104,24
"2",2,11005,54,24,30,9,1,2,1,5,2,2,27.2700004577637,73,55,20,73,55,26104,11,24,5,2,26,0,2,54,27,71.1100006103516,22.2000007629395,27,75,18.5,1,0,0,0,0,2,72.6372756958008,20.0109100341797,55,72.7447280883789,27.2563629150391,55,0,NA,NA,24,26104,24
"3",3,11006,37,21,16,12,2,2,1,7,2,2,31.4300003051758,67,35,48.5699996948242,56,35,26104,12,38,5,1,22,0,2,37,15,64,33.2999992370605,15,75.4700012207031,20,1,0,0,1,0,2,64,33.2999992370605,15,75.4700012207031,20,15,0,NA,NA,38,26104,38
"4",4,11006,37,21,16,12,2,2,1,7,2,2,31.4300003051758,67,35,48.5699996948242,56,35,26104,12,38,5,2,15,0,2,37,20,50,60.0224990844727,20,60.6474990844727,40.002498626709,NA,1,0,1,0,2,64,33.2999992370605,15,75.4700012207031,20,15,1,20,20,38,26104,38
"5",5,11009,32,17,15,6,1,2,1,1,1,1,40.6300010681152,74,32,21.8799991607666,68,32,4622,11,6,5,1,32,0,1,32,32,68.379997253418,21.8999996185303,32,73.9700012207031,40.5999984741211,1,0,0,0,0,1,68.379997253418,21.8999996185303,32,73.9700012207031,40.5999984741211,32,0,NA,NA,6,4622,6
"6",6,11010,68,34,34,15,1,1,1,NA,2,2,32.689998626709,69,52,26.4200000762939,61,53,30007,11,3,5,1,34,0,2,68,22,59.8600006103516,31.7999992370605,22,69.5500030517578,22.7000007629395,1,0,0,0,0,2,61.0532073974609,26.4188671112061,53,68.7307662963867,32.6807708740234,52,0,NA,NA,3,30007,3
"7",7,11010,68,34,34,15,1,1,1,NA,2,2,32.689998626709,69,52,26.4200000762939,61,53,30007,11,3,5,2,34,0,2,68,31,61.9000015258789,22.6000003814697,30,68.129997253418,40,1,0,0,0,0,2,61.0532073974609,26.4188671112061,53,68.7307662963867,32.6807708740234,52,0,NA,NA,3,30007,3
"8",8,11013,86,54,32,17,1,1,1,2,3,3,40.9599990844727,69,83,38.2700004577637,62,81,30007,11,8,5,1,30,0,3,87,30,61.0999984741211,36.7000007629395,30,65.5699996948242,46.7000007629395,1,0,0,0,0,3,62.3588905334473,38.2629623413086,81,69.472770690918,40.9915657043457,83,0,NA,NA,8,30007,8
"9",9,11013,86,54,32,17,1,1,1,2,3,3,40.9599990844727,69,83,38.2700004577637,62,81,30007,11,8,5,2,26,0,3,87,24,59.4199981689453,45.7999992370605,24,69.9199981689453,41.7000007629395,1,0,0,0,0,3,62.3588905334473,38.2629623413086,81,69.472770690918,40.9915657043457,83,0,NA,NA,8,30007,8
"10",10,11013,86,54,32,17,1,1,1,2,3,3,40.9599990844727,69,83,38.2700004577637,62,81,30007,11,8,5,3,31,0,3,87,27,66.370002746582,33.2999992370605,29,73.1399993896484,34.5,1,0,0,0,0,3,62.3588905334473,38.2629623413086,81,69.472770690918,40.9915657043457,83,0,NA,NA,8,30007,8
